set_name,trait,clumped_exposure_snps,outcome_snps,overlap_snps,example_overlap,outcome_file,clumped_exposure_file
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01,GDF15,2,70453,0,,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_clumped_significant_variants/GDF15_mr_ready_clumped_sig_variants.csv
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01,SHBG,1,70453,1,17:7387376,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_clumped_significant_variants/SHBG_mr_ready_clumped_sig_variants.csv
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02,GDF15,2,72811,0,,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_clumped_significant_variants/GDF15_mr_ready_clumped_sig_variants.csv
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02,SHBG,1,72811,1,17:7387376,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_clumped_significant_variants/SHBG_mr_ready_clumped_sig_variants.csv
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03,GDF15,2,304277,0,,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_clumped_significant_variants/GDF15_mr_ready_clumped_sig_variants.csv
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03,SHBG,1,304277,1,17:7387376,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_clumped_significant_variants/SHBG_mr_ready_clumped_sig_variants.csv
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_04,GDF15,2,0,0,,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_04/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_clumped_significant_variants/GDF15_mr_ready_clumped_sig_variants.csv
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_04,SHBG,1,0,0,,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_04/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_clumped_significant_variants/SHBG_mr_ready_clumped_sig_variants.csv
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_05,GDF15,2,0,0,,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_05/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_clumped_significant_variants/GDF15_mr_ready_clumped_sig_variants.csv
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_05,SHBG,1,0,0,,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_05/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_clumped_significant_variants/SHBG_mr_ready_clumped_sig_variants.csv
