set_name,trait,exposure_snps,outcome_snps,overlap_snps,example_overlap,outcome_file,exposure_file
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01,GDF15,81,70453,2,19:18264536,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_significant_variants/GDF15_mr_ready_sig_variants.csv
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01,SHBG,8,70453,5,17:7387376,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_significant_variants/SHBG_mr_ready_sig_variants.csv
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02,GDF15,81,72811,2,19:18264536,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_significant_variants/GDF15_mr_ready_sig_variants.csv
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02,SHBG,8,72811,6,17:7387376,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_significant_variants/SHBG_mr_ready_sig_variants.csv
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03,GDF15,81,304277,2,19:18264536,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_significant_variants/GDF15_mr_ready_sig_variants.csv
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03,SHBG,8,304277,7,17:7387376,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_significant_variants/SHBG_mr_ready_sig_variants.csv
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_04,GDF15,81,0,0,,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_04/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_significant_variants/GDF15_mr_ready_sig_variants.csv
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_04,SHBG,8,0,0,,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_04/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_significant_variants/SHBG_mr_ready_sig_variants.csv
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_05,GDF15,81,0,0,,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_05/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_significant_variants/GDF15_mr_ready_sig_variants.csv
Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_05,SHBG,8,0,0,,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_05/endometrial_cancer_mr_ready.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_significant_variants/SHBG_mr_ready_sig_variants.csv
